"","year","name","appres","judgeparty","sex","race","lawschool","abamin","pfedjdge","pfjdget","birthyear","aba","unsuccessful","nomdate","coder","presdummy","v17","circuit","congress.x","statenm","sen1name","sen1idno","sen1partynom","sen1dwnom1","sen1dwnom2","sen1logl","sen1nchoices","sen1errors","sen1gmp","sen1abv","sen2name","sen2idno","sen2partynom","sen2dwnom1","sen2dwnom2","sen2logl","sen2nchoices","sen2errors","sen2gmp","sen2abv","stateabv","senator1party","senator2party","pres","presideo","nomdatenum","term","congress.y","house","senate","SCmedian","first","firstSD","second","secondSD","third","thirdSD","fourth","fourthSD","fifth","fifthSD","sixth","sixthSD","seventh","seventhSD","eighth","eighthSD","ninth","ninthSD","tenth","tenthSD","eleventh","eleventhSD","DC","DCSD","gridlock4060","gridlock40","gridlock60","firstin","secondin","thirdin","fourthin","fifthin","sixthin","seventhin","eighthin","ninthin","tenthin","eleventhin","dcin","allin","presnom","presparty","allinpres","firstinP"
"1",1937,"Biggs, John Jr.",1,1,1,1,39,NA,0,0,1895,9999,0,"3-Feb-37","",NA,NA,3,75,"DELAWAR","HUGHES",4704,100,-0.312000006437302,-0.384999990463257,-24.763500213623,118,9,0.810999989509583,"HUG","TOWNSEND",9439,200,0.28600001335144,-0.296999990940094,-18.3747997283936,146,9,0.882000029087067,"TOW","DE","100","200","FDR",NA,-8367,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0757999997586012",-0.0299999993294477,0.0458000004291534,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,1,0
"2",1937,"Stephens, Albert Lee, Sr.",1,1,1,1,77,NA,1,2,1874,9999,0,"8-Jun-37","AW",0,NA,9,75,"CALIFOR","Johnson, Hiram W.",4962,200,0.335999995470047,0.617999970912933,-47.0609016418457,127,21,0.689999997615814,"JOH","McAdoo, William G.",6119,100,-0.0260000005364418,0.130999997258186,-46.6697998046875,127,18,0.691999971866608,"MCA","CA","200","100","FDR",NA,-8242,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,1,0
"3",1937,"Edgerton, Henry W.",1,1,1,1,39,NA,0,0,1888,9999,0,"26-Nov-37","",NA,NA,12,75,"DC",".",NA,NA,NA,NA,NA,NA,NA,NA,".",".",NA,NA,NA,NA,NA,NA,NA,NA,".","","","","FDR",NA,-8071,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,0,0
"4",1937,"Groner, Duncan L",1,0,1,1,141,NA,1,16,1873,9999,0,"26-Nov-37","",NA,NA,12,75,"DC",".",NA,NA,NA,NA,NA,NA,NA,NA,".",".",NA,NA,NA,NA,NA,NA,NA,NA,".","","","","FDR",NA,-8071,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,0,0
"5",1937,"Healy, William",1,1,1,1,44,NA,0,0,1881,9999,0,"8-Jun-37","EJ",0,NA,9,75,"IDAHO","Borah, William Edgar",858,200,0.211999997496605,0.501999974250793,-75.8604965209961,138,30,0.577000021934509,"BOR","Pope, James Pinckney",7524,100,-0.0140000004321337,0.444999992847443,-47.9519004821777,158,22,0.737999975681305,"POP","ID","0","1","FDR",NA,-8242,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,1,0
"6",1937,"Miller, Justin",1,1,1,1,82,NA,0,0,1888,9999,0,"20-Aug-37","",NA,NA,12,75,"DC",".",NA,NA,NA,NA,NA,NA,NA,NA,".",".",NA,NA,NA,NA,NA,NA,NA,NA,".","","","","FDR",NA,-8169,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0899999998509884",-0.0293999992311001,0.0606000006198883,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,0,0
"7",1937,"Treanor, Wlater E.",1,1,1,1,43,NA,0,0,1883,9999,0,"11-Dec-37","",NA,NA,7,75,"INDIANA","MINTON",6549,100,-0.189999997615814,-0.0879999995231628,-40.5307998657227,165,16,0.782000005245209,"MIN","VAN NUYS",9626,100,0.00499999988824129,0.0120000001043081,-68.1579971313477,142,30,0.619000017642975,"VAN","IN","100","100","FDR",NA,-8056,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,1,0
"8",1937,"Vinson, Frederick M.",1,1,1,1,160,NA,0,0,1890,9999,0,"26-Nov-37","",NA,NA,12,75,"DC",".",NA,NA,NA,NA,NA,NA,NA,NA,".",".",NA,NA,NA,NA,NA,NA,NA,NA,".","","","","FDR",NA,-8071,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0889999996870756",-0.0299999993294477,0.0590000003576279,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,0,0
"9",1937,"Major, James",1,1,1,1,183,NA,1,4,1887,9999,0,"9-Mar-37","SS",0,NA,7,75,"ILLINOI","Dieterich, William",2589,100,-0.248999997973442,-0.559000015258789,-41.4066009521484,131,19,0.728999972343445,"DIE","Lewis, James",5641,100,-0.264999985694885,-0.537000000476837,-32.323600769043,111,13,0.746999979019165,"LEW","IL","100","100","FDR",NA,-8333,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0757999997586012",-0.0299999993294477,0.0458000004291534,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,1,0
"10",1937,"Williams, Robert Lee",1,1,1,1,125,NA,1,19,1868,9999,0,"25-Mar-37","",NA,NA,10,75,"OKLAHOM","LEE",5562,100,-0.0020000000949949,0.560999989509583,-53.2061004638672,139,20,0.681999981403351,"LEE","THOMAS  J.",9303,100,0,0.333999991416931,-44.4795989990234,127,24,0.704999983310699,"THO","OK","100","100","FDR",NA,-8317,1936,75,-0.130999997258186,-0.0135000003501773,NA,NA,NA,NA,NA,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.168500006198883,NA,NA,NA,-0.0319999977946281,0.0692964643239975,NA,NA,NA,NA,NA,NA,"0.0757999997586012",-0.0299999993294477,0.0458000004291534,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.505,100,0,0
